height,weight,born
180,77,1918
188,83,1921
193,86,1924
196,88,1925
178,79,1927
180,79,1926
196,90,1921
183,77,1924
196,90,1927
196,95,1927
193,95,1925
208,102,1922
190,79,1928
196,97,1925
196,81,1927
185,81,1923
193,83,1920
193,92,1923
208,106,1930
196,99,1925
190,86,1926
190,79,1923
190,81,1927
183,77,1919
196,90,1917
193,88,1924
180,77,1917
190,83,1920
188,86,1925
196,88,1922
188,81,1920
201,88,1924
178,70,1923
183,81,1928
201,90,1924
193,92,1925
185,74,1923
183,79,1922
185,77,1922
185,79,1920
190,81,1924
196,79,1924
183,79,1927
196,88,1919
188,81,1926
198,88,1922
190,85,1922
196,92,1917
188,79,1925
190,79,1922
190,86,1920
185,83,1929
188,81,1925
188,86,1922
196,86,1921
180,77,1922
198,88,1918
198,95,1927
196,90,1925
183,72,1920
180,79,1923
196,89,1921
193,102,1922
201,86,1927
190,83,1927
201,88,1930
190,88,1927
188,83,1923
201,98,1926
196,90,1925
208,108,1925
206,102,1919
185,77,1918
183,81,1919
201,95,1923
188,81,1920
201,88,1927
201,88,1927
180,81,1921
190,92,1924
206,97,1924
190,77,1924
206,102,1923
178,79,1922
188,88,1925
193,83,1925
178,79,1920
193,81,1925
190,83,1924
190,83,1920
180,79,1917
196,107,1920
180,77,1921
180,77,1921
206,103,1925
190,86,1928
183,83,1923
198,97,1925
198,97,1920
190,78,1924
188,77,1923
190,79,1926
201,97,1921
201,96,1920
180,72,1927
188,87,1925
188,83,1922
190,83,1926
190,83,1927
188,86,1920
188,88,1921
208,99,1925
188,79,1921
185,80,1923
203,83,1928
183,81,1923
203,99,1922
193,92,1919
178,77,1925
193,86,1923
190,95,1923
180,81,1922
183,81,1926
198,83,1919
196,95,1927
196,88,1922
183,76,1922
196,95,1924
203,104,1925
208,111,1924
201,104,1928
201,95,1928
201,95,1923
193,86,1921
188,88,1925
183,74,1925
183,86,1928
201,100,1926
185,74,1921
193,83,1924
203,95,1927
190,81,1921
203,88,1924
206,99,1915
183,78,1928
185,81,1925
188,83,1923
190,79,1923
180,72,1922
190,88,1927
208,108,1921
201,99,1925
190,83,1925
190,90,1921
183,78,1924
188,79,1925
188,83,1922
193,78,1926
190,86,1922
206,99,1924
196,88,1925
188,88,1922
193,83,1922
206,99,1927
201,86,1923
201,86,1923
198,99,1922
196,86,1921
180,74,1914
206,90,1924
188,83,1924
206,95,1925
206,83,1923
183,76,1923
178,70,1927
178,74,1923
196,108,1917
178,79,1921
188,83,1924
183,79,1918
196,90,1927
196,92,1925
203,99,1928
201,104,1922
198,90,1922
188,87,1917
178,81,1922
190,86,1923
190,88,1926
178,74,1924
188,86,1922
188,81,1922
185,81,1928
190,83,1924
188,79,1923
185,90,1913
203,100,1925
185,88,1918
190,86,1922
183,81,1920
196,92,1925
193,90,1920
185,83,1921
188,83,1923
196,99,1923
198,97,1922
183,83,1920
193,95,1920
183,77,1922
183,77,1922
190,88,1923
190,88,1928
193,92,1921
193,92,1921
198,95,1920
183,77,1922
198,92,1921
188,72,1927
183,77,1921
175,70,1926
175,70,1926
175,70,1921
188,77,1925
,,
193,86,1928
190,90,1929
188,72,1926
203,99,1924
196,99,1924
185,79,1925
196,95,1927
198,99,1922
196,95,1926
185,79,1928
198,97,1922
188,86,1926
203,104,1922
206,97,1928
193,95,1927
185,77,1928
201,83,1926
196,90,1928
196,90,1928
196,83,1926
198,95,1926
196,83,1924
188,86,1928
188,83,1928
188,79,1925
201,95,1927
193,90,1923
196,88,1928
206,96,1928
196,90,1928
185,79,1926
198,90,1923
201,95,1929
190,90,1929
196,86,1926
198,99,1926
185,79,1926
183,81,1929
203,104,1927
203,90,1929
198,90,1928
203,95,1929
185,77,1929
183,79,1928
196,88,1930
188,81,1928
188,83,1922
175,72,1928
196,97,1928
193,83,1926
190,83,1925
193,92,1928
185,83,1927
188,83,1929
190,92,1928
211,106,1927
178,74,1929
180,81,1926
211,95,1928
185,79,1926
193,83,1926
193,92,1927
185,77,1931
183,77,1930
203,102,1930
201,98,1930
188,79,1930
185,83,1928
180,81,1930
201,90,1929
201,102,1929
190,81,1930
196,83,1927
188,92,1927
178,78,1928
188,86,1925
178,77,1928
196,90,1931
185,83,1928
201,94,1930
203,102,1931
193,86,1931
196,97,1930
190,83,1929
188,83,1928
190,95,1928
188,88,1927
201,90,1929
190,86,1930
183,72,1929
188,83,1928
185,77,1927
193,95,1929
206,97,1930
201,97,1930
183,83,1930
188,83,1928
190,81,1929
193,86,1931
190,83,1930
